millis;stamp;datetime;temp;flame_detect
645999;1497825848;28/09/2018 13:44;18.1;0
647000;1497825849;28/09/2018 13:44;18.1;0
648000;1497825850;28/09/2018 13:44;18.1;0
648998;1497825851;28/09/2018 13:44;18.1;0
650000;1497825852;28/09/2018 13:44;18.1;0
650999;1497825853;28/09/2018 13:44;18.1;0
651999;1497825854;28/09/2018 13:44;18.1;0
652999;1497825855;28/09/2018 13:44;18.1;0
653999;1497825856;28/09/2018 13:44;18.1;0
654999;1497825857;28/09/2018 13:44;18.1;0
656000;1497825858;28/09/2018 13:44;18.1;0
657000;1497825859;28/09/2018 13:44;18.1;0
657999;1497825860;28/09/2018 13:45;18.1;0
659000;1497825861;28/09/2018 13:45;18.1;0
659999;1497825862;28/09/2018 13:45;18.1;0
660999;1497825863;28/09/2018 13:45;18.1;0
661998;1497825864;28/09/2018 13:45;18.1;0
662999;1497825865;28/09/2018 13:45;18.1;0
663999;1497825866;28/09/2018 13:45;18.1;0
664998;1497825867;28/09/2018 13:45;18.1;0
665999;1497825868;28/09/2018 13:45;18;0
667000;1497825869;28/09/2018 13:45;18;0
668000;1497825870;28/09/2018 13:45;18;0
668999;1497825871;28/09/2018 13:45;18;0
669999;1497825872;28/09/2018 13:45;18;0
670999;1497825873;28/09/2018 13:45;18;0
672000;1497825874;28/09/2018 13:45;18.1;0
672999;1497825875;28/09/2018 13:45;18.1;0
673998;1497825876;28/09/2018 13:45;18;0
674999;1497825877;28/09/2018 13:45;18;0
675998;1497825878;28/09/2018 13:45;18.1;0
676999;1497825879;28/09/2018 13:45;18.1;0
677998;1497825880;28/09/2018 13:45;18;0
678999;1497825881;28/09/2018 13:45;18;0
679999;1497825882;28/09/2018 13:45;18;0
680999;1497825883;28/09/2018 13:45;18;0
682000;1497825884;28/09/2018 13:45;18;0
682999;1497825885;28/09/2018 13:45;18;0
683999;1497825886;28/09/2018 13:45;18;0
684999;1497825887;28/09/2018 13:45;18.1;0
685999;1497825888;28/09/2018 13:45;18.1;0
686999;1497825889;28/09/2018 13:45;18;0
687998;1497825890;28/09/2018 13:46;18;0
688999;1497825891;28/09/2018 13:46;18.1;0
689999;1497825892;28/09/2018 13:46;18.1;0
691000;1497825893;28/09/2018 13:46;18.1;0
691998;1497825894;28/09/2018 13:46;18.1;0
693000;1497825895;28/09/2018 13:46;18.1;0
693999;1497825896;28/09/2018 13:46;18.1;0
695000;1497825897;28/09/2018 13:46;18.1;0
695999;1497825898;28/09/2018 13:46;18.1;0
696999;1497825899;28/09/2018 13:46;18.1;0
697999;1497825900;28/09/2018 13:46;18.1;0
698999;1497825901;28/09/2018 13:46;18.1;0
699999;1497825902;28/09/2018 13:46;18.1;0
700998;1497825903;28/09/2018 13:46;18.1;0
702000;1497825904;28/09/2018 13:46;18.1;0
702999;1497825905;28/09/2018 13:46;18.1;0
703998;1497825906;28/09/2018 13:46;18.1;0
705000;1497825907;28/09/2018 13:46;18.1;0
705999;1497825908;28/09/2018 13:46;18.1;0
706999;1497825909;28/09/2018 13:46;18.1;0
707999;1497825910;28/09/2018 13:46;18.1;0
708999;1497825911;28/09/2018 13:46;18.1;0
709999;1497825912;28/09/2018 13:46;18;0
710999;1497825913;28/09/2018 13:46;18;0
712000;1497825914;28/09/2018 13:46;18;0
712998;1497825915;28/09/2018 13:46;18;0
713999;1497825916;28/09/2018 13:46;18;0
714998;1497825917;28/09/2018 13:46;18;0
715999;1497825918;28/09/2018 13:46;18;0
716999;1497825919;28/09/2018 13:46;18;0
717999;1497825920;28/09/2018 13:47;18;0
719000;1497825921;28/09/2018 13:47;18;0
720000;1497825922;28/09/2018 13:47;18;0
720999;1497825923;28/09/2018 13:47;18;0
721999;1497825924;28/09/2018 13:47;18;0
722999;1497825925;28/09/2018 13:47;18;0
723999;1497825926;28/09/2018 13:47;18;0
724999;1497825927;28/09/2018 13:47;18;0
725998;1497825928;28/09/2018 13:47;18;0
727000;1497825929;28/09/2018 13:47;18;0
727999;1497825930;28/09/2018 13:47;18;0
728999;1497825931;28/09/2018 13:47;18;0
729999;1497825932;28/09/2018 13:47;18;0
730999;1497825933;28/09/2018 13:47;18;0
731999;1497825934;28/09/2018 13:47;18;0
732998;1497825935;28/09/2018 13:47;18;0
733999;1497825936;28/09/2018 13:47;18;0
734999;1497825937;28/09/2018 13:47;18;0
735998;1497825938;28/09/2018 13:47;18;0
736999;1497825939;28/09/2018 13:47;18;0
737998;1497825940;28/09/2018 13:47;18;0
738999;1497825941;28/09/2018 13:47;18;0
739998;1497825942;28/09/2018 13:47;18;0
740999;1497825943;28/09/2018 13:47;18;0
741998;1497825944;28/09/2018 13:47;18;0
742999;1497825945;28/09/2018 13:47;18;0
743999;1497825946;28/09/2018 13:47;18;0
744999;1497825947;28/09/2018 13:47;18;0
745999;1497825948;28/09/2018 13:47;18;0
746998;1497825949;28/09/2018 13:47;18;0
748000;1497825950;28/09/2018 13:48;18;0
748999;1497825951;28/09/2018 13:48;18;0
749999;1497825952;28/09/2018 13:48;18;0
750999;1497825953;28/09/2018 13:48;18;0
751998;1497825954;28/09/2018 13:48;18;0
752999;1497825955;28/09/2018 13:48;18;0
753999;1497825956;28/09/2018 13:48;18;0
755000;1497825957;28/09/2018 13:48;18;0
755999;1497825958;28/09/2018 13:48;18;0
756999;1497825959;28/09/2018 13:48;18;0
757999;1497825960;28/09/2018 13:48;18;0
758999;1497825961;28/09/2018 13:48;18;0
760000;1497825962;28/09/2018 13:48;18;0
760998;1497825963;28/09/2018 13:48;18;0
761999;1497825964;28/09/2018 13:48;18;0
762999;1497825965;28/09/2018 13:48;18;0
763999;1497825966;28/09/2018 13:48;18;0
764999;1497825967;28/09/2018 13:48;18;0
765999;1497825968;28/09/2018 13:48;18;0
766999;1497825969;28/09/2018 13:48;18;0
767998;1497825970;28/09/2018 13:48;18;0
768999;1497825971;28/09/2018 13:48;18;0
769999;1497825972;28/09/2018 13:48;18;0
770999;1497825973;28/09/2018 13:48;18;0
771999;1497825974;28/09/2018 13:48;18;0
772999;1497825975;28/09/2018 13:48;18;0
773998;1497825976;28/09/2018 13:48;18;0
775000;1497825977;28/09/2018 13:48;18;0
775999;1497825978;28/09/2018 13:48;18;0
776998;1497825979;28/09/2018 13:48;18;0
777999;1497825980;28/09/2018 13:49;18;0
778998;1497825981;28/09/2018 13:49;18;0
779999;1497825982;28/09/2018 13:49;18;0
780999;1497825983;28/09/2018 13:49;18;0
781999;1497825984;28/09/2018 13:49;18;0
783000;1497825985;28/09/2018 13:49;18;0
783998;1497825986;28/09/2018 13:49;18;0
784999;1497825987;28/09/2018 13:49;18;0
785998;1497825988;28/09/2018 13:49;18;0
786999;1497825989;28/09/2018 13:49;18;0
787998;1497825990;28/09/2018 13:49;18;0
789000;1497825991;28/09/2018 13:49;18;0
789998;1497825992;28/09/2018 13:49;18;0
791000;1497825993;28/09/2018 13:49;18;0
791999;1497825994;28/09/2018 13:49;18;0
792999;1497825995;28/09/2018 13:49;18;0
793999;1497825996;28/09/2018 13:49;18;0
794999;1497825997;28/09/2018 13:49;18;0
795999;1497825998;28/09/2018 13:49;18;0
796999;1497825999;28/09/2018 13:49;18;0
797999;1497826000;28/09/2018 13:49;18;0
799000;1497826001;28/09/2018 13:49;18;0
799998;1497826002;28/09/2018 13:49;18;0
800999;1497826003;28/09/2018 13:49;18;0
801999;1497826004;28/09/2018 13:49;18;0
803000;1497826005;28/09/2018 13:49;18;0
803999;1497826006;28/09/2018 13:49;18;0
805000;1497826007;28/09/2018 13:49;18;0
805998;1497826008;28/09/2018 13:49;18;0
807000;1497826009;28/09/2018 13:49;18;0
807999;1497826010;28/09/2018 13:50;18;0
808999;1497826011;28/09/2018 13:50;18;0
809999;1497826012;28/09/2018 13:50;18;0
810999;1497826013;28/09/2018 13:50;18;0
811999;1497826014;28/09/2018 13:50;18;0
812999;1497826015;28/09/2018 13:50;18;0
813999;1497826016;28/09/2018 13:50;18;0
814999;1497826017;28/09/2018 13:50;18;0
816000;1497826018;28/09/2018 13:50;17.9;0
816999;1497826019;28/09/2018 13:50;17.9;0
817998;1497826020;28/09/2018 13:50;17.9;0
818999;1497826021;28/09/2018 13:50;18;0
819999;1497826022;28/09/2018 13:50;18;0
821000;1497826023;28/09/2018 13:50;18;0
821999;1497826024;28/09/2018 13:50;18;0
822999;1497826025;28/09/2018 13:50;17.9;0
823999;1497826026;28/09/2018 13:50;17.9;0
824999;1497826027;28/09/2018 13:50;17.9;0
825999;1497826028;28/09/2018 13:50;17.9;0
826999;1497826029;28/09/2018 13:50;17.9;0
827999;1497826030;28/09/2018 13:50;17.9;0
828998;1497826031;28/09/2018 13:50;17.9;0
830000;1497826032;28/09/2018 13:50;17.9;0
830999;1497826033;28/09/2018 13:50;17.9;0
831998;1497826034;28/09/2018 13:50;17.9;0
832999;1497826035;28/09/2018 13:50;17.9;0
833999;1497826036;28/09/2018 13:50;17.9;0
834999;1497826037;28/09/2018 13:50;17.9;0
835998;1497826038;28/09/2018 13:50;17.9;0
837000;1497826039;28/09/2018 13:50;17.9;0
837999;1497826040;28/09/2018 13:51;17.9;0
838999;1497826041;28/09/2018 13:51;17.9;0
839999;1497826042;28/09/2018 13:51;17.9;0
840999;1497826044;28/09/2018 13:51;17.9;0
841999;1497826045;28/09/2018 13:51;17.9;0
842998;1497826046;28/09/2018 13:51;17.9;0
844000;1497826047;28/09/2018 13:51;17.9;0
844999;1497826048;28/09/2018 13:51;17.9;0
845999;1497826049;28/09/2018 13:51;17.9;0
846999;1497826050;28/09/2018 13:51;17.9;0
848000;1497826051;28/09/2018 13:51;17.9;0
848999;1497826052;28/09/2018 13:51;17.9;0
849999;1497826053;28/09/2018 13:51;17.9;0
851000;1497826054;28/09/2018 13:51;17.9;0
851999;1497826055;28/09/2018 13:51;17.9;0
852999;1497826056;28/09/2018 13:51;17.9;0
853999;1497826057;28/09/2018 13:51;17.9;0
854999;1497826058;28/09/2018 13:51;17.9;0
855999;1497826059;28/09/2018 13:51;17.9;0
856999;1497826060;28/09/2018 13:51;17.9;0
857998;1497826061;28/09/2018 13:51;17.9;0
858998;1497826062;28/09/2018 13:51;17.9;0
859999;1497826063;28/09/2018 13:51;17.9;0
860999;1497826064;28/09/2018 13:51;17.9;0
861999;1497826065;28/09/2018 13:51;17.9;0
862999;1497826066;28/09/2018 13:51;17.9;0
863998;1497826067;28/09/2018 13:51;17.9;0
865000;1497826068;28/09/2018 13:51;17.9;0
865999;1497826069;28/09/2018 13:51;17.9;0
867000;1497826070;28/09/2018 13:51;17.9;0
867999;1497826071;28/09/2018 13:52;17.9;0
868999;1497826072;28/09/2018 13:52;17.9;0
869999;1497826073;28/09/2018 13:52;17.9;0
870999;1497826074;28/09/2018 13:52;17.9;0
871999;1497826075;28/09/2018 13:52;17.9;0
872998;1497826076;28/09/2018 13:52;17.9;0
873999;1497826077;28/09/2018 13:52;17.9;0
